Class,Precision,Recall,mAP50,mAP50-95
0,0.902584894431536,0.9204336463072307,0.945662660825622,0.6826526039352149
1,0.9045322261527184,0.9253352664008698,0.945662660825622,0.6826526039352149
2,0.9089959369455861,0.8984126984126984,0.945662660825622,0.6826526039352149
3,0.8877336966552433,0.90992687928967,0.945662660825622,0.6826526039352149
